protocol,hold_us,run,attempts,successful_updates,busy_updates,logical_updates_started,first_attempt_successes,dispatch_attempts,scheduled_releases,missed_releases,transition_busy_skips,execution_busy_skips,empty_skips,skips_per_successful_update,first_attempt_success_rate,update_success_rate,program_bytes_one,program_bytes_two
atomic,0,0,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,1,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,2,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,3,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,4,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,5,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,6,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,7,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,0,8,1000,1000,0,1000,1000,998,1000,2,0,0,0,0.0,1.0,1.0,16,32
atomic,0,9,1000,1000,0,1000,1000,992,1000,8,0,0,0,0.0,1.0,1.0,16,32
atomic,10,0,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,1,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,2,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,3,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,4,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,5,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,6,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,7,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,8,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,10,9,1000,1000,0,1000,1000,994,1000,6,0,0,0,0.0,1.0,1.0,16,32
atomic,100,0,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,1,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,2,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,3,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,4,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,5,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,6,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,7,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,100,8,1000,1000,0,1000,1000,993,1002,9,0,0,0,0.0,1.0,1.0,16,32
atomic,100,9,1000,1000,0,1000,1000,984,1000,16,0,0,0,0.0,1.0,1.0,16,32
atomic,500,0,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,1,1000,1000,0,1000,1000,999,1000,1,0,0,0,0.0,1.0,1.0,16,32
atomic,500,2,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,3,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,4,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,5,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,6,1000,1000,0,1000,1000,998,1000,2,0,0,0,0.0,1.0,1.0,16,32
atomic,500,7,1000,1000,0,1000,1000,1000,1000,0,0,0,0,0.0,1.0,1.0,16,32
atomic,500,8,1000,1000,0,1000,1000,998,1000,2,0,0,0,0.0,1.0,1.0,16,32
atomic,500,9,1000,1000,0,1000,1000,995,1000,5,0,0,0,0.0,1.0,1.0,16,32
